Concentration,Class,R,G,B,UV,R_minus_G,R_minus_B,R_minus_UV,G_minus_B,G_minus_UV,B_minus_UV
ambient,0,0.70046,1.32994,1.51486,2.3121,-0.6294799999999999,-0.8144000000000001,-1.61164,-0.1849200000000002,-0.9821600000000001,-0.79724
0.1ppm,3,0.71948,1.36888,1.64154,3.03952,-0.6494000000000001,-0.92206,-2.32004,-0.2726599999999999,-1.67064,-1.39798
0.4ppm,6,0.80654,1.49824,1.77306,3.13546,-0.6917,-0.96652,-2.32892,-0.27482000000000006,-1.6372200000000001,-1.3624
0.5ppm,7,0.74402,1.3952,1.67876,3.07684,-0.65118,-0.93474,-2.33282,-0.28356000000000003,-1.6816399999999998,-1.3980799999999998
0.8ppm,10,0.78464,1.46614,1.7519,3.10746,-0.6815,-0.96726,-2.32282,-0.28576,-1.6413200000000001,-1.35556
