Concentration,Class,R,G,B,UV
ambient,0,0.70046,1.32994,1.51486,2.3121
0.1ppm,3,0.71948,1.36888,1.64154,3.03952
0.4ppm,6,0.80654,1.49824,1.77306,3.13546
0.5ppm,7,0.74402,1.3952,1.67876,3.07684
0.8ppm,10,0.78464,1.46614,1.7519,3.10746
