Concentration,Class,R,G,B,UV
air,0,0.67942,1.26938,1.4301,2.12198
DI Water,1,0.62804,1.1697,1.32902,2.68584
0 ppm,2,0.63712,1.198,1.3932,2.80148
0.1 ppm,3,0.61676,1.1753,1.36494,2.80522
0.2 ppm,4,0.6242,1.19822,1.39042,2.82776
0.3 ppm,5,0.61984,1.18922,1.37878,2.82542
0.4 ppm,6,0.63426,1.2016,1.4275,2.84868
0.5 ppm,7,0.61924,1.1862,1.37926,2.82444
0.6 ppm,8,0.63016,1.19854,1.38812,2.84052
0.7 ppm,9,0.61256,1.1745,1.36888,2.8322
0.8 ppm,10,0.61248,1.16846,1.39318,2.8474
